Key,ES,FR,PT,SW
lists.months.january,January,Janvier,Janeiro,Januari
lists.months.february,Febrero,Février,Fevereiro,Februari
lists.months.march,Marzo,mars,Março,Machi
lists.months.april,April,Avril,Abril,Aprili 
lists.months.may,Mayo,Mai,Maio,Mei
lists.months.june,Junio,Juin,Junho,Juni
lists.months.july,Julio,Juillet,Julho,Julai
lists.months.august,August,Août,Agosto,Agosti
lists.months.september,Septiembre,Septembre,Setembro,Septemba
lists.months.october,Octubre,Octobre,Outubro,Oktoba 
lists.months.november,Noviembre,Novembre,Novembro,Novemba
lists.months.december,Diciembre,décembre,Dezembro,Disemba
