Key,English,ES,FR,PT,SW,Key
lists.months.january,January,January,Janvier,Janeiro,Januari,lists.months.january
lists.months.february,February,Febrero,Février,Fevereiro,Februari,lists.months.february
lists.months.march,March,Marzo,mars,Março,Machi,lists.months.march
lists.months.april,April,April,Avril,Abril,Aprili ,lists.months.april
lists.months.may,May,Mayo,Mai,Maio,Mei,lists.months.may
lists.months.june,June,Junio,Juin,Junho,Juni,lists.months.june
lists.months.july,July,Julio,Juillet,Julho,Julai,lists.months.july
lists.months.august,August,August,Août,Agosto,Agosti,lists.months.august
lists.months.september,September,Septiembre,Septembre,Setembro,Septemba,lists.months.september
lists.months.october,October,Octubre,Octobre,Outubro,Oktoba ,lists.months.october
lists.months.november,November,Noviembre,Novembre,Novembro,Novemba,lists.months.november
lists.months.december,December,Diciembre,décembre,Dezembro,Disemba,lists.months.december
